Order	Family	Genus	Habitat
Squaliformes	Dalatiidae	Acrosqualiolus	D
Squaliformes	Etmopteridae	Aculeola	D
Squaliformes	Dalatiidae	Angoumeius	D
Squaliformes	Centrophoridae	Centrodeania	D
Squaliformes	Squalidae	Centrophoroides	S
Squaliformes	Centrophoridae	Centrophorus	D
Squaliformes	Etmopteridae	Centroscyllium	D
Squaliformes	Somniosidae	Centroscymnus	M
Squaliformes	Somniosidae	Centroselachus	D
Squaliformes	Squalidae	Centrosqualus	M
Squaliformes	Squalidae	Cirrhigaleus	S
Squaliformes	Somniosidae	Cretascymnus	D
Squaliformes	Dalatiidae	Dalatias	D
Squaliformes	Centrophoridae	Deania	D
Squaliformes	Dalatiidae	Dracipinna	D
Squaliformes	Dalatiidae	Eodalatias	S
Squaliformes	Etmopteridae	Eoetmopterus	D
Squaliformes	Dalatiidae	Eosqualiolus	D
Squaliformes	Etmopteridae	Etmopterus	D
Squaliformes	Dalatiidae	Euprotomicroides	D
Squaliformes	Dalatiidae	Euprotomicrus	M
Squaliformes	Dalatiidae	Hessinodon	D
Squaliformes	Dalatiidae	Heteroscymnoides	D
Squaliformes	Etmopteridae	Incognitorapax	S
Squaliformes	Dalatiidae	Isistius	M
Squaliformes	Squalidae	Megasqualus	S
Squaliformes	Etmopteridae	Microetmopterus	S
Squaliformes	Dalatiidae	Mollisquama	D
Squaliformes	Dalatiidae	Oligodalatias	M
Squaliformes	Somniosidae	Oxynotus	D
Squaliformes	Etmopteridae	Paraetmopterus	D
Squaliformes	Etmopteridae	Proetmopterus	M
Squaliformes	Centrophoridae	Protocentrophorus	S
Squaliformes	Squalidae	Protosqualus	S
Squaliformes	Somniosidae	Protoxynotus	S
Squaliformes	Somniosidae	Rhinoscymnus	D
Squaliformes	Somniosidae	Scymnodalatias	D
Squaliformes	Somniosidae	Scymnodon	D
Squaliformes	Somniosidae	Somniosus	D
Squaliformes	Dalatiidae	Squaliodalatias	D
Squaliformes	Dalatiidae	Squaliolus	D
Squaliformes	Squalidae	Squalus	S
Squaliformes	Etmopteridae	Trigonognathus	D
Squaliformes	Somniosidae	Zameus	D
